Project ID,Participating organisation,Participating organisation ref,Project title,Project description,Project result,Project status,Budget period start,Budget period end,Budget amount,Budget currency,Project location,Contact organisation,Contact email,Parent project ID,Start date,End date,Cluster
41122-Nepal-2970/A0/04/516/001,UNICEF,41122,IR 1: Office Management Costs,IR 1: Office Management Costs,,Completion,2012-01-01,2012-12-31,805038,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/516 PCR 7 - CROSS SECTORAL,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/516/002,UNICEF,41122,IR2 : Communication & Emergency,IR2 : Communication & Emergency,,Completion,2012-01-01,2012-12-31,298679,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/516 PCR 7 - CROSS SECTORAL,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/512/002,UNICEF,41122,Adolescent girls and boys specifically  MARAs and EVAs have comprehensive knowledge and skills to protect themselves from HIV in intervention areas .,Adolescent girls and boys specifically  MARAs and EVAs have comprehensive knowledge and skills to protect themselves from HIV in intervention areas .,,Completion,2012-01-01,2012-12-31,405000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/512 PCR 3 - HIV&AIDS,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/512/003,UNICEF,41122,"CABA specifically adolescent girls have access to programmes to strengthen their life skills  and to protection mechanisms that provide them with protection  and care   services from families, communities and government  in intervention areas","CABA specifically adolescent girls have access to programmes to strengthen their life skills  and to protection mechanisms that provide them with protection  and care   services from families, communities and government  in intervention areas",,Completion,2012-01-01,2012-12-31,329400,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/512 PCR 3 - HIV&AIDS,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/512/004,UNICEF,41122,IR4 - PMR HIV&AIDS,IR4 - PMR HIV&AIDS,,Completion,2012-01-01,2012-12-31,263827,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/512 PCR 3 - HIV&AIDS,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/513/001,UNICEF,41122,Legal system provides better protection for children,Legal system provides better protection for children,,Completion,2012-01-01,2012-12-31,589591,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/513 PCR 4 - CHILD PROTECTION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/513/002,UNICEF,41122,Social welfare system provides a better response to children in need ofspecial protection,Social welfare system provides a better response to children in need ofspecial protection,,Completion,2012-01-01,2012-12-31,162403,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/513 PCR 4 - CHILD PROTECTION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/513/003,UNICEF,41122,"Children, Families, Communities, Govt & Non-Govt actors improve KAP/CP.mobile and establish mechanism to provide better protection for children","Children, Families, Communities, Govt & Non-Govt actors improve KAP/CP.mobile and establish mechanism to provide better protection for children",,Completion,2012-01-01,2012-12-31,1057444,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/513 PCR 4 - CHILD PROTECTION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/001,UNICEF,41122,"IR 1: Health and Nutrition related policies and strategies to address equity in maternal, adolescent girls and children's outcome improved.","IR 1: Health and Nutrition related policies and strategies to address equity in maternal, adolescent girls and children's outcome improved.",,Completion,2012-01-01,2012-12-31,211847,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/513/004,UNICEF,41122,Children are better protected from the impact of armed conflict & humanitarian crises,Children are better protected from the impact of armed conflict & humanitarian crises,,Completion,2012-01-01,2012-12-31,1544243,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/513 PCR 4 - CHILD PROTECTION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/002,UNICEF,41122,"IR 2: Access and utilization of equitable health and nutrition servicesimproved for women, adolescent girls and children.","IR 2: Access and utilization of equitable health and nutrition servicesimproved for women, adolescent girls and children.",,Completion,2012-01-01,2012-12-31,2838697,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/513/005,UNICEF,41122,National Level Child Protection Programme Management Cost,National Level Child Protection Programme Management Cost,,Completion,2012-01-01,2012-12-31,240310,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/513 PCR 4 - CHILD PROTECTION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/003,UNICEF,41122,"IR 3: Access and utilization of micronutrients (Vitamin A, iron tablets, MNP Powder, Iodized salt)   with focus on children and mothers in disadvantaged groups and urban areas increased.","IR 3: Access and utilization of micronutrients (Vitamin A, iron tablets, MNP Powder, Iodized salt)   with focus on children and mothers in disadvantaged groups and urban areas increased.",,Completion,2012-01-01,2012-12-31,1290299,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/001,UNICEF,41122,"Children, especially adolescent girls, and women from disadvantaged communities, benefit from improved local governance that is responsive, accountable, decentralized, inclusive and child friendly","Children, especially adolescent girls, and women from disadvantaged communities, benefit from improved local governance that is responsive, accountable, decentralized, inclusive and child friendly",,Completion,2012-01-01,2012-12-31,3093504,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/004,UNICEF,41122,"IR 4: Families especially from the disadvantaged groups adopting basic maternal and child health care and feeding practices including hygiene and child stimulation practices increased with active adolescent girls, youth and male participation","IR 4: Families especially from the disadvantaged groups adopting basic maternal and child health care and feeding practices including hygiene and child stimulation practices increased with active adolescent girls, youth and male participation",,Completion,2012-01-01,2012-12-31,394500,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/002,UNICEF,41122,Child rights and DAG issues mainstreamed and aligned into policies and processes of LGCDP at national/ sub-national level,Child rights and DAG issues mainstreamed and aligned into policies and processes of LGCDP at national/ sub-national level,,Completion,2012-01-01,2012-12-31,681657,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/005,UNICEF,41122,"IR 5: Capacity of Government/ Stakeholders in disaster preparedness, response and recovery enhanced to ensure health and nutrition status of children (boys and girls), adolescents girls and women during humanitariancrisis","IR 5: Capacity of Government/ Stakeholders in disaster preparedness, response and recovery enhanced to ensure health and nutrition status of children (boys and girls), adolescents girls and women during humanitariancrisis",,Completion,2012-01-01,2012-12-31,458144,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/003,UNICEF,41122,"Child and equity prioritized legislation, social protection policies and budget developed and implemented that are evidence based and in line with CRC and CEDAW","Child and equity prioritized legislation, social protection policies and budget developed and implemented that are evidence based and in line with CRC and CEDAW",,Completion,2012-01-01,2012-12-31,417477,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/510/006,UNICEF,41122,"Programme Management and Staff Salary, Travel , Training cost and OtherAllowances","Programme Management and Staff Salary, Travel , Training cost and OtherAllowances",,Completion,2012-01-01,2012-12-31,231000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/510 PCR 1 - HEALTH & NUTRITION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/004,UNICEF,41122,"Children, especially the disadvantaged, are increasingly engaged in participatory processes which help to address the issues that affect their well-being.","Children, especially the disadvantaged, are increasingly engaged in participatory processes which help to address the issues that affect their well-being.",,Completion,2012-01-01,2012-12-31,300500,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/511/001,UNICEF,41122,"Education Legislation, Policy, and Plan are progressively demonstrating Gender Equity and Social Inclusion  (GESI )in education interventions(ECD,Formal,Non formal and peace building and emergencies)","Education Legislation, Policy, and Plan are progressively demonstrating Gender Equity and Social Inclusion  (GESI )in education interventions(ECD,Formal,Non formal and peace building and emergencies)",,Completion,2012-01-01,2012-12-31,924412,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/511 PCR 2 - EDUCATION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/005,UNICEF,41122,"Evidence, and disaggregated information on the situation of women and ch ildren generated and analyzed and made available topolicy makers through a knowledge management system.","Evidence, and disaggregated information on the situation of women and ch ildren generated and analyzed and made available topolicy makers through a knowledge management system.",,Completion,2012-01-01,2012-12-31,416000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/514/006,UNICEF,41122,IR6 - PMR,IR6 - PMR,,Completion,2012-01-01,2012-12-31,1186399,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,"2970/A0/04/514 PCR 5 - GOVERNANCE. POLICY, PARTNERSHIPS",2012-01-01,2012-12-31,
